gt_x,gt_y,gt_psi,gt_v,f_x,f_y,f_psi,f_v,e_x,e_y,e_psi,e_v
100.21,-94.1245,-1.60655,5,100.337,-94.0466,-1.60816,6.19743,-0.126479,-0.0778836,0.00160799,-1.19743
100.192,-94.6241,-1.60655,5,100.676,-94.6982,-1.60813,6.25276,-0.483316,0.0741108,0.00157698,-1.25276
100.174,-95.1238,-1.60655,5,100.268,-95.4648,-1.60798,6.40634,-0.0932707,0.341002,0.00142582,-1.40634
100.157,-95.6235,-1.60655,5,100.446,-95.8149,-1.60802,6.49668,-0.289939,0.191401,0.00147114,-1.49668
100.139,-96.1232,-1.70655,5.2,100.404,-96.2111,-1.70791,6.68486,-0.265205,0.0879234,0.00136084,-1.48486
100.068,-96.6384,-1.81055,5.38,100.37,-95.962,-1.81183,6.15451,-0.301644,-0.676416,0.00127776,-0.774514
99.9405,-97.161,-1.91815,5.542,99.9462,-96.8129,-1.91932,6.47172,-0.00562141,-0.348055,0.00117072,-0.929722
99.7519,-97.6821,-2.02899,5.6878,100.162,-97.6353,-2.03004,6.34688,-0.410285,-0.0467538,0.00105557,-0.659078
99.5003,-98.1922,-2.14275,5.81902,99.7304,-98.3361,-2.14362,6.26406,-0.230056,0.143906,0.000873358,-0.445042
99.1853,-98.6815,-2.25913,5.93712,99.7306,-99.1391,-2.25996,5.90306,-0.545297,0.457623,0.000833356,0.0340566
98.8082,-99.14,-2.37787,6.04341,98.7088,-99.4418,-2.37866,6.40355,0.0993305,0.301801,0.000790561,-0.360146
98.3717,-99.558,-2.49874,6.13907,98.1514,-99.812,-2.49958,6.48975,0.220319,0.253971,0.000847941,-0.350688
97.8803,-99.926,-2.62152,6.22516,97.9778,-100.511,-2.62231,6.32038,-0.0974865,0.584598,0.000794489,-0.0952177
97.3401,-100.235,-2.74602,6.30264,97.4674,-100.6,-2.74699,5.97107,-0.127281,0.364682,0.000969666,0.331569
96.7585,-100.478,-2.87207,6.37238,97.0719,-100.336,-2.87314,5.70878,-0.313345,-0.142178,0.00106146,0.663601
96.1443,-100.648,-2.99952,6.43514,96.5923,-100.305,-3.0006,5.76043,-0.448002,-0.342875,0.00107799,0.674713
95.5073,-100.739,-3.12822,6.49163,95.7753,-101.186,-3.12952,6.03936,-0.268042,0.447097,0.00129988,0.452263
94.8581,-100.748,3.02513,6.54246,94.6963,-101.217,3.02387,6.15599,0.161818,0.469371,0.00125445,0.386476
94.2083,-100.672,2.89428,6.58822,93.9636,-101.018,2.89296,6.26037,0.244684,0.346508,0.00132178,0.327844
93.5696,-100.51,2.76252,6.6294,93.3621,-100.83,2.76126,6.21175,0.20745,0.319804,0.00125331,0.417644
92.9537,-100.265,2.63737,6.66646,92.784,-100.568,2.63606,6.25203,0.169636,0.302685,0.00130626,0.414428
92.37,-99.943,2.53204,6.69981,92.1957,-100.053,2.53077,6.28277,0.174314,0.110334,0.00126588,0.41704
91.8207,-99.5594,2.44352,6.72983,91.6564,-99.8648,2.44243,6.25612,0.164242,0.305363,0.0010946,0.473715
91.3051,-99.1269,2.36924,6.75685,91.5154,-99.1028,2.36794,6.23585,-0.210278,-0.0241155,0.00130606,0.521
90.8211,-98.6554,2.30699,6.78116,91.1152,-99.0508,2.30576,5.98846,-0.294014,0.395433,0.00122901,0.792702
90.3658,-98.1529,2.25488,6.80305,90.5732,-98.7994,2.25368,5.69471,-0.207385,0.646504,0.00120146,1.10834
89.9359,-97.6256,2.2113,6.82274,90.198,-97.6012,2.20993,6.30658,-0.262126,-0.0244569,0.00137022,0.516163
89.5282,-97.0786,2.1749,6.84047,89.4032,-97.1037,2.17349,6.52825,0.124962,0.0250745,0.00140348,0.312214
89.1396,-96.5156,2.14451,6.85642,88.9056,-96.7174,2.14272,6.54397,0.234021,0.201772,0.00178837,0.312451
88.7675,-95.9398,2.11916,6.87078,88.5415,-95.6109,2.11734,6.72985,0.225948,-0.328889,0.00182197,0.140926
88.4093,-95.3534,2.09804,6.8837,88.5511,-95.8439,2.09579,6.4853,-0.141836,0.490489,0.00224876,0.398404
88.0629,-94.7585,2.08044,6.89533,88.0544,-94.9477,2.07808,7.04489,0.00855515,0.189204,0.00235633,-0.149559
87.7265,-94.1566,2.06579,6.9058,87.9046,-93.8225,2.06317,7.15273,-0.178108,-0.334095,0.00261944,-0.246935
87.3985,-93.5489,2.0536,6.91522,87.408,-93.3422,2.05085,7.13601,-0.00951881,-0.20671,0.00274654,-0.22079
87.0775,-92.9365,2.04346,6.9237,86.3135,-92.6017,2.04066,7.23411,0.763969,-0.334768,0.00279621,-0.310415
86.7622,-92.32,2.03503,6.93133,86.5588,-91.882,2.03187,6.90487,0.20343,-0.438003,0.00315257,0.026452
86.4519,-91.7002,2.02802,6.93819,86.4909,-91.5618,2.02508,6.76318,-0.0389815,-0.13844,0.00294161,0.17501
86.1456,-91.0777,2.0222,6.94437,86.0622,-91.4725,2.01936,6.37282,0.0834226,0.394863,0.00283633,0.571552
85.8427,-90.4528,2.01736,6.94994,85.9649,-90.3809,2.01434,6.5023,-0.122225,-0.0719359,0.00302034,0.447639
85.5425,-89.826,2.01335,6.95494,85.4385,-89.9203,2.0103,6.36577,0.104073,0.0943536,0.00305422,0.589174
85.2447,-89.1975,2.01002,6.95945,84.9704,-89.0553,2.00709,6.258,0.274325,-0.142211,0.00292669,0.701451
84.9487,-88.5676,2.00725,6.9635,84.8967,-88.8581,2.00438,6.0665,0.0520405,0.290512,0.0028694,0.897007
84.6544,-87.9365,2.00495,6.96715,84.6561,-88.1347,2.00218,6.1585,-0.00170498,0.198191,0.00277584,0.808657
84.3613,-87.3044,2.00305,6.97044,84.2591,-87.6178,2.00031,6.19099,0.102205,0.313402,0.00274157,0.779446
84.0693,-86.6715,2.00147,6.97339,84.0735,-86.8039,1.99867,6.19963,-0.00423729,0.132441,0.00279794,0.773767
83.7782,-86.0378,2.00016,6.97605,83.7174,-86.0585,1.99722,6.22637,0.0608113,0.0206706,0.00294262,0.749684
83.4878,-85.4035,1.99907,6.97845,83.4657,-85.409,1.99611,6.14754,0.0221032,0.00540914,0.0029561,0.83091
83.198,-84.7687,1.99817,6.9806,83.6777,-84.9054,1.99525,6.06705,-0.479698,0.13669,0.00291632,0.913559
82.9086,-84.1335,1.99742,6.98254,82.8618,-84.2233,1.99422,6.03061,0.0467914,0.089884,0.00320263,0.951938
82.6197,-83.4978,1.9968,6.98429,82.6849,-83.8871,1.99333,5.78907,-0.0652059,0.389358,0.00347081,1.19522
82.3311,-82.8618,1.99629,6.98586,82.2177,-83.2917,1.99275,5.64815,0.113373,0.429935,0.00354181,1.33771
